iter	Passed	Remaining
424	1863	2520
425	1867	2516
426	1870	2510
427	1874	2504
428	1877	2498
429	1880	2493
430	1883	2486
431	1889	2483
432	1895	2482
433	1900	2479
434	1903	2472
435	1907	2467
436	1910	2461
437	1915	2457
438	1920	2453
439	1923	2448
440	1929	2445
441	1933	2440
442	1939	2439
443	1944	2434
444	1947	2428
445	1950	2423
446	1955	2419
447	1959	2413
448	1963	2409
449	1969	2407
450	1972	2401
451	1977	2397
452	1980	2391
453	1985	2387
454	1990	2384
455	1996	2381
456	2002	2379
457	2005	2373
458	2011	2370
459	2016	2367
460	2021	2363
461	2024	2357
462	2030	2354
463	2035	2351
464	2040	2347
465	2044	2342
466	2047	2336
467	2050	2330
468	2054	2326
469	2059	2322
470	2064	2319
471	2072	2318
472	2077	2314
473	2080	2308
474	2085	2304
475	2088	2299
476	2092	2294
477	2096	2289
478	2100	2284
479	2104	2279
480	2107	2273
481	2110	2268
482	2114	2262
483	2117	2257
484	2124	2255
485	2128	2250
486	2132	2246
487	2137	2242
488	2142	2239
489	2146	2233
490	2149	2228
491	2154	2224
492	2159	2220
493	2162	2215
494	2166	2209
495	2168	2203
496	2171	2197
497	2174	2192
498	2177	2186
499	2180	2180
500	2185	2177
501	2190	2172
502	2192	2166
503	2196	2161
504	2199	2156
505	2203	2151
506	2207	2146
507	2210	2141
508	2215	2136
509	2218	2131
510	2221	2126
511	2224	2120
512	2227	2115
513	2230	2108
514	2233	2103
515	2236	2097
516	2240	2093
517	2244	2088
518	2246	2082
519	2250	2077
520	2254	2072
521	2258	2067
522	2261	2062
523	2264	2056
524	2268	2052
525	2272	2047
526	2275	2042
527	2280	2038
528	2283	2032
529	2286	2027
530	2289	2021
531	2293	2017
532	2295	2011
533	2299	2006
534	2301	2000
535	2306	1996
536	2311	1992
537	2316	1989
538	2321	1985
539	2324	1980
540	2332	1979
541	2345	1981
542	2349	1977
543	2352	1972
544	2356	1967
545	2359	1962
546	2365	1958
547	2368	1953
548	2371	1948
549	2374	1942
550	2379	1939
551	2383	1934
552	2386	1928
553	2389	1923
554	2392	1918
555	2395	1913
556	2398	1907
557	2402	1903
558	2407	1898
559	2409	1893
560	2413	1888
561	2417	1884
562	2420	1879
563	2427	1876
564	2430	1871
565	2434	1866
566	2437	1861
567	2440	1856
568	2443	1850
569	2449	1848
570	2452	1842
571	2457	1839
572	2463	1835
573	2467	1831
574	2471	1826
575	2475	1821
576	2477	1816
577	2480	1810
578	2484	1806
579	2486	1800
580	2491	1796
581	2493	1791
582	2497	1786
583	2499	1780
584	2503	1776
585	2505	1770
586	2508	1765
587	2511	1759
588	2515	1755
589	2520	1751
590	2523	1746
591	2527	1741
592	2529	1736
593	2533	1731
594	2535	1725
595	2537	1720
596	2540	1715
597	2543	1709
598	2547	1705
599	2549	1699
600	2552	1694
601	2555	1689
602	2557	1683
603	2560	1678
604	2562	1672
605	2565	1667
606	2567	1662
607	2569	1656
608	2571	1650
609	2573	1645
610	2575	1639
611	2578	1634
612	2580	1629
613	2582	1623
614	2585	1618
615	2587	1613
616	2590	1608
617	2592	1602
618	2595	1597
619	2597	1591
620	2600	1587
621	2603	1581
622	2605	1576
623	2607	1571
624	2610	1566
625	2612	1560
626	2614	1555
627	2617	1550
628	2619	1545
629	2622	1539
630	2624	1534
631	2626	1529
632	2629	1524
633	2631	1519
634	2634	1514
635	2636	1508
636	2638	1503
637	2641	1498
638	2644	1493
639	2647	1488
640	2649	1483
641	2651	1478
642	2653	1473
643	2656	1468
644	2658	1463
645	2660	1458
646	2662	1452
647	2665	1447
648	2667	1442
649	2670	1437
650	2673	1433
651	2676	1428
652	2679	1423
653	2682	1419
654	2685	1414
655	2688	1409
656	2691	1405
657	2693	1400
658	2698	1396
659	2701	1391
660	2705	1387
661	2707	1382
662	2711	1378
663	2713	1373
664	2716	1368
665	2718	1363
666	2720	1358
667	2723	1353
668	2725	1348
669	2730	1344
670	2732	1339
671	2736	1335
672	2738	1330
673	2741	1325
674	2743	1321
675	2745	1316
676	2748	1311
677	2750	1306
678	2752	1301
679	2756	1296
680	2757	1291
681	2761	1287
682	2763	1282
683	2766	1278
684	2769	1273
685	2772	1269
686	2775	1264
687	2777	1259
688	2780	1254
689	2782	1250
690	2785	1245
691	2787	1240
692	2792	1236
693	2794	1232
694	2796	1227
695	2799	1222
696	2801	1218
697	2805	1213
698	2807	1208
699	2810	1204
700	2813	1199
701	2815	1195
702	2818	1190
703	2820	1185
704	2825	1182
705	2827	1177
706	2830	1172
707	2832	1168
708	2834	1163
709	2836	1158
710	2838	1153
711	2840	1149
712	2843	1144
713	2845	1139
714	2847	1135
715	2850	1130
716	2852	1125
717	2855	1121
718	2857	1116
719	2860	1112
720	2863	1107
721	2865	1103
722	2868	1099
723	2870	1094
724	2873	1089
725	2876	1085
726	2879	1081
727	2881	1076
728	2884	1072
729	2889	1068
730	2891	1064
731	2896	1060
732	2898	1055
733	2903	1052
734	2906	1047
735	2909	1043
736	2915	1040
737	2919	1036
738	2921	1031
739	2924	1027
740	2926	1022
741	2929	1018
742	2932	1014
743	2934	1009
744	2936	1005
745	2939	1000
746	2942	996
747	2946	992
748	2948	988
749	2951	983
750	2953	979
751	2956	975
752	2959	970
753	2961	966
754	2964	961
755	2966	957
756	2969	953
757	2971	948
758	2973	944
759	2975	939
760	2978	935
761	2980	930
762	2983	926
763	2985	922
764	2987	917
765	2989	913
766	2992	908
767	2994	904
768	2996	900
769	2999	896
770	3001	891
771	3004	887
772	3007	883
773	3009	878
774	3013	874
775	3015	870
776	3019	866
777	3021	862
778	3025	858
779	3027	853
780	3031	850
781	3034	845
782	3037	841
783	3040	837
784	3043	833
785	3046	829
786	3050	825
787	3053	821
788	3056	817
789	3059	813
790	3064	809
791	3067	805
792	3071	801
793	3074	797
794	3078	793
